[69.7-73.1] 耍把万豪
[876.5-883.2] 毛主肯定要的
[884.5-885.3] 还没吃到
[887.5-888.5] 我来挡我来挡
[888.8-892.3] 他什么玩意啊
[944.8-946.4] 这么痛吗?我走了我走我走
[947.1-949.6] 不对吧
[949.8-970.9] 那一拳打歪了,不然该死不了
[970.9-971.7] 啊
[971.7-972.5] 救命
[972.5-975.1] 哇
[975.1-988.7] 自变了个大法师吗
[989.0-989.8] 狗孕着人
[989.8-999.2] 狗孕着人
[999.2-999.7] 我有个法转物
[999.7-1001.0] 等我养我起座回转血
[1001.0-1002.1] 等我养我起座回转血
[1002.1-1003.6] 这皮肤是佛转啊
[1010.6-1011.3] 啊
[1011.3-1012.6] 救命
[1019.4-1020.9] 自变了个大法师吗
[1021.2-1022.0] 狗孕着人
[1028.5-1029.5] 我有个法转物
[1057.1-1058.6] 等我养我起座回转血
[1070.3-1071.3] 这皮肤是福我撑啊
[1071.6-1071.8] 这皮肤
[1071.8-1073.4] 没错
[1073.6-1075.4] 你是没见过老妈年轻的神
[1098.4-1099.4] 人家空我
[1099.7-1101.0] 给我连到破坏来
[1102.0-1102.8] 我逃几秒了
[1102.8-1108.5] 差0.1秒就能动了
[1108.5-1127.6] 有没有老万好
[1127.6-1128.6] 我下降出什么猛
[1128.6-1141.7] 无穷搞点CD其实也行
[1141.7-1146.7] 谢谢Monkey的派对时刻
[1146.7-1159.9] 小心点
[1159.9-1176.7] 来来来
[1176.7-1177.5] 你控死我
[1177.5-1177.9] 来
[1177.9-1202.8] 不用魔抗我
[1202.8-1203.3] W快
[1203.3-1205.5] 等于我战得久
[1205.5-1212.9] 我血越少
[1212.9-1213.6] 攻击率越高
[1213.6-1214.4] CD越快
[1214.4-1215.5] CD越快
[1215.5-1217.0] 我W好的越快
[1217.0-1219.0] E好的越快
[1219.0-1220.0] 还有巨像勇气
[1220.0-1224.1] 左胶踩右脚
[1224.1-1225.1] 我要伏敌了
[1225.1-1226.0] 要升天了
[1226.0-1236.8] 吃什么呢
[1236.8-1241.7] 要不还是吃打抛饭吧
[1241.7-1251.1] 我
[1251.1-1253.6] 就对装备了呀
[1253.6-1254.5] 最灰火
[1254.5-1255.3] 就装备了
[1255.3-1257.3] 以后再也不开了
[1257.3-1280.0] 装备
[1280.0-1281.8] 装备不是很好换啊
[1281.8-1327.3] 装备
[1327.3-1328.0] 断体吧
[1328.0-1340.9] 杰斯上还有点不对劲啊
[1340.9-1390.7] 杰斯
[1390.7-1391.3] 快开了
[1391.3-1392.9] 我得赶紧解诱战斗了
[1392.9-1408.8] 这人用彩票中奖的运气
[1408.8-1411.8] 自变了个游里卡加大马师
[1411.8-1416.1] 一波一波
[1416.1-1419.5] 这波我开好一波应该能吹掉
[1419.5-1434.2] 你炮一千八吗
[1434.2-1435.6] 什么东西啊
[1435.6-1472.0] OK我哼死一个
[1472.0-1475.5] 一拳
[1475.5-1476.3] 一万二
[1476.3-1477.8] 快推快推
[1477.8-1510.4] 70万
[1510.4-1511.4] 对吧
[1511.4-1512.4] 我看他穿IG队族
[1512.4-1514.4] 嗯
[1514.4-1516.4] 陈桑120万
[1516.4-1517.4] 哈
[1517.4-1518.4] 经历了
[1518.4-1519.4] 我还妈
[1519.4-1520.4] 这叫小伞在那儿
[1520.4-1521.4] 领寒
[1521.4-1522.4] 我听声音听出来了
[1522.4-1523.4] 是不是
[1523.4-1527.8] 这么能听
[1527.8-1529.8] 他没搞天下吗
[1529.8-1530.8] 昨天对
[1530.8-1531.8] 昨天那个京东
[1531.8-1532.8] 还是
[1532.8-1533.8] 还是谁啊
[1533.8-1534.8] 我是说
[1534.8-1536.8] 其他这个声音怎么那么熟悉
[1536.8-1537.8] 在那儿领寒
[1537.8-1538.8] 哈哈
[1538.8-1539.8] 然后我说
[1539.8-1542.8] 然后然后后面还谁喊了一句两小伞牛逼
[1542.8-1543.8] 我说怎么还有伞爷在这儿
[1543.8-1544.8] 我说
[1544.8-1545.8] 对不对这个李喊的就是他
[1545.8-1546.8] 然后洛西给我发现一颗就是他
[1546.8-1548.8] 哈哈哈
[1548.8-1550.8] 我听的声音吧一模一样
[1550.8-1551.8] 嗯
[1551.8-1552.8] 现在贝贝我看
[1552.8-1553.8] 经常在线下呀
[1553.8-1555.8] 拍这个短视频
[1555.8-1556.8] 呃
[1556.8-1558.8] 贝贝现在是玩短视频流泰了
[1558.8-1559.8] 哈
[1559.8-1560.8] 贝贝
[1560.8-1561.8] 贝
[1561.8-1564.8] 贝贝是真可以播新秀的贝贝
[1564.8-1567.8] 贝贝太适合户外了呀
[1567.8-1568.8] 贝贝
[1568.8-1574.4] 贝贝
[1574.4-1575.4] 贝贝
[1575.4-1576.4] 贝贝
[1576.4-1577.4] 贝贝
[1577.4-1580.1] 贝贝
[1580.1-1581.1] może是贝贝了
[1581.1-1582.1] 是贝贝也是贝贝
[1582.1-1584.1] 贝贝如果贝贝
[1584.1-1585.1] 的贝贝贝最贝贝
[1585.1-1588.1] 花的心甘情愿,但大咪得胜费
[1588.1-1593.1] 没费的呀,现在都蛇心选的钱
[1593.1-1596.1] 你觉得谁掉就选谁呀?
[1596.1-1602.1] 超凡大师,上单
[1602.1-1608.1] 上单,空巢呀,还是不如那种大师打野厉害呀
[1608.1-1610.1] 哈哈
[1610.1-1614.9] 哈哈,大师打野容易带节奏啊
[1614.9-1616.9] 那大师打野
[1616.9-1619.9] 上单,大师能都抵啊
[1619.9-1622.9] 上单,大师有后期carry的力啊
[1622.9-1624.9] 对啊,我就坤的呀
[1624.9-1627.9] 那大师打野应该很好拿冠军吧
[1627.9-1634.9] 那我感觉L3冠军应该很好拿冠军吧
[1634.9-1637.9] 乐乐好,还只有冠军乐乐
[1637.9-1639.9] 大师打野确实厉害一点
[1639.9-1647.5] 原来老总也有冠军
[1647.5-1649.5] AD爆吧
[1649.5-1651.5] 我先说一句
[1651.5-1653.5] AD真的不好
[1653.5-1656.5] 上单确实也不好拿
[1656.5-1658.5] AD真没双
[1658.5-1660.5] 上单空调,AD鸡蛋,没办法
[1662.5-1664.5] 两个最没有影响力的位置
[1664.5-1668.1] 认同了
[1669.1-1674.1] 谁赢第一把,我给谁加油
[1674.1-1676.1] 这两兄弟
[1676.1-1680.2] 今天两边的第一场
[1680.2-1682.2] 只希望打快一点
[1682.2-1684.2] 只希望打快一点
[1702.5-1704.5] 不好说谁厉害啊
[1704.5-1706.5] 这两队差不多吧,战绩也差不多
[1706.5-1710.3] 我感觉TG厉害点
[1710.3-1712.3] 不好说,我感觉不好说
[1712.3-1714.3] 真不好说
[1714.3-1716.3] 我感觉不好说
[1716.3-1717.3] 真不好说
[1717.3-1718.3] 蓝天
[1718.3-1720.3] 前期玩的都还可以啊
[1720.3-1722.3] 老蓝天中下绝对比TG厉害啊
[1722.3-1724.3] 少爷
[1724.3-1726.3] 少爷现在太坑了呀
[1726.3-1728.3] 但跟小安比的话
[1728.3-1730.3] 可能又比小安要稳定点
[1730.3-1736.5] 哈哈
[1736.5-1738.5] 昨天那个少爷的表现给我看神了
[1738.5-1742.0] 8坑
[1742.0-1744.0] AD55刊
[1744.0-1746.0] 中府感觉老感觉
[1746.0-1752.6] 领先
[1752.6-1754.6] 上野特特
[1754.6-1756.6] 哪也可能差不多
[1756.6-1761.9] 上路特特领先
[1761.9-1763.9] 有可能是大凑胶哦
[1763.9-1770.1] 前阵要再弄
[1770.1-1772.1] 因为过段时间才能弄了呀
[1772.1-1773.1] 不得连续去的呀
[1773.1-1774.1] 要重新升起
[1774.1-1776.1] 升起来要等他通过
[1776.1-1778.1] 很麻烦的
[1778.1-1781.1] 八条加个什么
[1781.1-1784.1] 总肯定原神领先啊
[1784.1-1786.1] 太坑出的好早
[1786.1-1791.0] 别人的就这个太坑
[1791.0-1793.0] 剩滑的还可以
[1793.0-1795.0] 刘神来手锐儿
[1795.0-1796.0] 怎么说
[1796.0-1797.0] 刘神感觉标志锐儿啊
[1797.0-1798.0] 刘神最爱吧
[1798.0-1800.0] 刘神就喜欢有锐儿
