priority_tier,analysis_score,num,start_bjt,format,league,teams,event_slug,market_count,game_markets,recommended_action,rationale
A 重点研究池,75,20,2026-06-05 17:00,BO5,LPL Playoffs,Anyone's Legend vs LGD Gaming,lol-al-lgd-2026-06-05,5,4,适合做盘口/概率校准，优先看 series，必要时拆 Game 1。,BO5 样本更稳定且有 series+小局联动；赛事关注度/信息可得性较好；双方队伍可研究性较强
A 重点研究池,75,29,2026-06-06 17:00,BO5,LPL Playoffs,JD Gaming vs Bilibili Gaming,lol-jdg-blg-2026-06-06,5,4,适合做盘口/概率校准，优先看 series，必要时拆 Game 1。,BO5 样本更稳定且有 series+小局联动；赛事关注度/信息可得性较好；双方队伍可研究性较强
A 重点研究池,75,36,2026-06-07 17:00,BO5,LPL Playoffs,Top Esports vs Team WE,lol-tes-we-2026-06-07,5,4,适合做盘口/概率校准，优先看 series，必要时拆 Game 1。,BO5 样本更稳定且有 series+小局联动；赛事关注度/信息可得性较好；双方队伍可研究性较强
A 重点研究池,75,43,2026-06-08 17:00,BO5,LPL Playoffs,Anyone's Legend vs Bilibili Gaming,lol-al-blg-2026-06-08,5,4,适合做盘口/概率校准，优先看 series，必要时拆 Game 1。,BO5 样本更稳定且有 series+小局联动；赛事关注度/信息可得性较好；双方队伍可研究性较强
A 重点研究池,75,108,2026-06-13 16:30,BO5,LPL Playoffs,Team WE vs Bilibili Gaming,lol-we-blg-2026-06-13,5,4,适合做盘口/概率校准，优先看 series，必要时拆 Game 1。,BO5 样本更稳定且有 series+小局联动；赛事关注度/信息可得性较好；双方队伍可研究性较强
A 重点研究池,75,116,2026-06-14 16:15,BO5,LPL Playoffs,Top Esports vs Bilibili Gaming,lol-tes-blg-2026-06-14,5,4,适合做盘口/概率校准，优先看 series，必要时拆 Game 1。,BO5 样本更稳定且有 series+小局联动；赛事关注度/信息可得性较好；双方队伍可研究性较强
A 重点研究池,71,3,2026-06-01 23:00,BO5,LEC Playoffs,Karmine Corp vs GIANTX,lol-kc-gx-2026-06-01,5,4,适合做盘口/概率校准，优先看 series，必要时拆 Game 1。,BO5 样本更稳定且有 series+小局联动；赛事关注度/信息可得性较好；双方队伍可研究性较强
A 重点研究池,71,30,2026-06-06 23:00,BO5,LEC Playoffs,Movistar KOI vs Karmine Corp,lol-mkoi-kc-2026-06-06,5,4,适合做盘口/概率校准，优先看 series，必要时拆 Game 1。,BO5 样本更稳定且有 series+小局联动；赛事关注度/信息可得性较好；双方队伍可研究性较强
A 重点研究池,71,37,2026-06-07 23:20,BO5,LEC Playoffs,G2 Esports vs Karmine Corp,lol-g2-kc-2026-06-07,5,4,适合做盘口/概率校准，优先看 series，必要时拆 Game 1。,BO5 样本更稳定且有 series+小局联动；赛事关注度/信息可得性较好；双方队伍可研究性较强
A 重点研究池,69,1,2026-06-01 04:00,BO5,LCS Playoffs,Team Liquid vs Shopify Rebellion,lol-tl2-sr-2026-05-31,5,4,适合做盘口/概率校准，优先看 series，必要时拆 Game 1。,BO5 样本更稳定且有 series+小局联动；赛事关注度/信息可得性较好；双方队伍可研究性较强
A 重点研究池,69,33,2026-06-07 04:00,BO5,LCS Playoffs,FlyQuest vs Team Liquid,lol-fly-tl2-2026-06-06,5,4,适合做盘口/概率校准，优先看 series，必要时拆 Game 1。,BO5 样本更稳定且有 series+小局联动；赛事关注度/信息可得性较好；双方队伍可研究性较强
A 重点研究池,69,40,2026-06-08 04:00,BO5,LCS Playoffs,Cloud9 vs LYON,lol-c9-ly-2026-06-07,5,4,适合做盘口/概率校准，优先看 series，必要时拆 Game 1。,BO5 样本更稳定且有 series+小局联动；赛事关注度/信息可得性较好；双方队伍可研究性较强
A 重点研究池,69,114,2026-06-14 04:10,BO5,LCS Playoffs,Team Liquid vs Cloud9,lol-tl2-c9-2026-06-13,5,4,适合做盘口/概率校准，优先看 series，必要时拆 Game 1。,BO5 样本更稳定且有 series+小局联动；赛事关注度/信息可得性较好；双方队伍可研究性较强
A 重点研究池,69,120,2026-06-15 04:00,BO5,LCS Playoffs,LYON vs Team Liquid,lol-ly-tl2-2026-06-14,5,4,适合做盘口/概率校准，优先看 series，必要时拆 Game 1。,BO5 样本更稳定且有 series+小局联动；赛事关注度/信息可得性较好；双方队伍可研究性较强
B 观察验证池,65,21,2026-06-05 17:00,BO5,LCP Playoffs,MVK Esports vs GAM Esports,lol-mvk-gam-2026-06-05,5,4,可作为样本池或轻量机会池，除非价格明显偏差，否则不优先投入。,BO5 样本更稳定且有 series+小局联动；赛事关注度/信息可得性较好；双方队伍可研究性较强
B 观察验证池,65,28,2026-06-06 17:00,BO5,LCP Playoffs,Deep Cross Gaming vs GAM Esports,lol-dcg-gam-2026-06-06,5,4,可作为样本池或轻量机会池，除非价格明显偏差，否则不优先投入。,BO5 样本更稳定且有 series+小局联动；赛事关注度/信息可得性较好；双方队伍可研究性较强
B 观察验证池,65,35,2026-06-07 17:00,BO5,LCP Playoffs,Team Secret Whales vs Deep Cross Gaming,lol-tsw-dcg-2026-06-07,5,4,可作为样本池或轻量机会池，除非价格明显偏差，否则不优先投入。,BO5 样本更稳定且有 series+小局联动；赛事关注度/信息可得性较好；双方队伍可研究性较强
B 观察验证池,55,119,2026-06-15 00:00,BO5,Esports World Cup South America & LATAM Qualifier Playoffs,RED Canids vs LOS,lol-red-los-2026-06-14,5,4,可作为样本池或轻量机会池，除非价格明显偏差，否则不优先投入。,BO5 样本更稳定且有 series+小局联动；双方队伍可研究性较强
B 观察验证池,49,32,2026-06-07 00:15,BO5,CBLOL Playoffs,FURIA Esports vs LOS,lol-fur-los-2026-06-06,5,4,可作为样本池或轻量机会池，除非价格明显偏差，否则不优先投入。,BO5 样本更稳定且有 series+小局联动；双方队伍可研究性较强
C 低优先/剔除池,47,109,2026-06-13 23:00,BO5,EMEA Masters Playoffs,Galions vs Misa Esports,lol-gal-me1-2026-06-13,5,4,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO5 样本更稳定且有 series+小局联动；次级欧洲赛事，资料中等
C 低优先/剔除池,47,110,2026-06-13 23:00,BO5,EMEA Masters Playoffs,Solary vs G2 NORD,lol-sly-g2nord-2026-06-13,5,4,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO5 样本更稳定且有 series+小局联动；次级欧洲赛事，资料中等
C 低优先/剔除池,47,111,2026-06-13 23:00,BO5,EMEA Masters Playoffs,UCAM Esports Club vs Karmine Corp Blue,lol-ucam1-kcb-2026-06-13,5,4,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO5 样本更稳定且有 series+小局联动；次级欧洲赛事，资料中等
C 低优先/剔除池,47,112,2026-06-13 23:00,BO5,EMEA Masters Playoffs,Team Heretics Academy vs Eintracht Spandau,lol-hrts-es1-2026-06-13,5,4,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO5 样本更稳定且有 series+小局联动；次级欧洲赛事，资料中等
C 低优先/剔除池,47,117,2026-06-14 23:00,BO5,EMEA Masters Playoffs,Galions vs Eintracht Spandau,lol-gal-es1-2026-06-14,5,4,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO5 样本更稳定且有 series+小局联动；次级欧洲赛事，资料中等
C 低优先/剔除池,47,118,2026-06-14 23:00,BO5,EMEA Masters Playoffs,Solary vs UCAM Esports Club,lol-sly-ucam1-2026-06-14,5,4,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO5 样本更稳定且有 series+小局联动；次级欧洲赛事，资料中等
C 低优先/剔除池,47,124,2026-06-15 23:00,BO5,EMEA Masters Playoffs,Solary vs Galions,lol-sly-gal-2026-06-15,5,4,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO5 样本更稳定且有 series+小局联动；次级欧洲赛事，资料中等
C 低优先/剔除池,45,38,2026-06-08 00:00,BO3,Esports World Cup South America & LATAM Qualifier Playoffs,LOUD vs Vivo Keyd Stars,lol-lll-vks-2026-06-07,3,2,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO3 有一定可建模性；双方队伍可研究性较强
C 低优先/剔除池,45,67,2026-06-09 03:15,BO3,Esports World Cup South America & LATAM Qualifier Playoffs,LOS vs Vivo Keyd Stars,lol-los-vks-2026-06-08,3,2,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO3 有一定可建模性；双方队伍可研究性较强
C 低优先/剔除池,45,89,2026-06-11 05:15,BO3,Esports World Cup South America & LATAM Qualifier Playoffs,LOS vs paiN Gaming,lol-los-png1-2026-06-10,3,2,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO3 有一定可建模性；双方队伍可研究性较强
C 低优先/剔除池,45,100,2026-06-12 02:00,BO3,Esports World Cup South America & LATAM Qualifier Playoffs,Vivo Keyd Stars vs RED Canids,lol-vks-red-2026-06-11,3,2,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO3 有一定可建模性；双方队伍可研究性较强
C 低优先/剔除池,45,101,2026-06-12 05:15,BO3,Esports World Cup South America & LATAM Qualifier Playoffs,LOUD vs LOS,lol-lll-los-2026-06-11,3,2,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO3 有一定可建模性；双方队伍可研究性较强
C 低优先/剔除池,45,113,2026-06-14 00:00,BO3,Esports World Cup South America & LATAM Qualifier Playoffs,Vivo Keyd Stars vs LOS,lol-vks-los-2026-06-13,3,2,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO3 有一定可建模性；双方队伍可研究性较强
C 低优先/剔除池,45,125,2026-06-17 14:00,BO5,Asia Masters Playoffs,KT Rolster Challengers vs Dplus KIA Challengers,lol-ktc-dkc-2026-06-17,5,4,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO5 样本更稳定且有 series+小局联动
C 低优先/剔除池,45,126,2026-06-17 17:40,BO5,Asia Masters Playoffs,Nongshim Esports Academy vs T1 Academy,lol-nsea-t1a-2026-06-17,5,4,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO5 样本更稳定且有 series+小局联动
C 低优先/剔除池,45,127,2026-06-18 14:00,BO5,Asia Masters Playoffs,Dplus KIA Challengers vs T1 Academy,lol-dkc-t1a-2026-06-18,5,4,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO5 样本更稳定且有 series+小局联动
C 低优先/剔除池,45,128,2026-06-18 18:30,BO5,Asia Masters Playoffs,KT Rolster Challengers vs Nongshim Esports Academy,lol-ktc-nsea-2026-06-18,5,4,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO5 样本更稳定且有 series+小局联动
C 低优先/剔除池,45,129,2026-06-19 17:00,BO5,Asia Masters Playoffs,T1 Academy vs KT Rolster Challengers,lol-t1a-ktc-2026-06-19,5,4,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO5 样本更稳定且有 series+小局联动
C 低优先/剔除池,45,130,2026-06-21 17:00,BO5,Asia Masters Playoffs,Dplus KIA Challengers vs T1 Academy,lol-dkc-t1a-2026-06-21,5,4,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO5 样本更稳定且有 series+小局联动
C 低优先/剔除池,43,131,2026-06-26 17:10,BO1,Cross Regional Group Stage,Kiwoom DRX vs LOS,lol-drx-los-2026-06-26,1,0,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO1 方差高；赛事关注度/信息可得性较好；双方队伍可研究性较强
C 低优先/剔除池,43,132,2026-06-26 18:10,BO1,Cross Regional Group Stage,DN SOOPers vs Cloud9,lol-dnf-c9-2026-06-26,1,0,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO1 方差高；赛事关注度/信息可得性较好；双方队伍可研究性较强
C 低优先/剔除池,43,133,2026-06-26 20:00,BO1,Cross Regional Group Stage,Kiwoom DRX vs Cloud9,lol-drx-c9-2026-06-26,1,0,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO1 方差高；赛事关注度/信息可得性较好；双方队伍可研究性较强
C 低优先/剔除池,43,134,2026-06-26 20:40,BO1,Cross Regional Group Stage,DN SOOPers vs FlyQuest,lol-dnf-fly-2026-06-26,1,0,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO1 方差高；赛事关注度/信息可得性较好；双方队伍可研究性较强
C 低优先/剔除池,43,135,2026-06-27 17:00,BO1,Cross Regional Group Stage,Dplus KIA vs LOS,lol-dk-los-2026-06-27,1,0,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO1 方差高；赛事关注度/信息可得性较好；双方队伍可研究性较强
C 低优先/剔除池,43,136,2026-06-27 17:50,BO1,Cross Regional Group Stage,Kiwoom DRX vs FlyQuest,lol-drx-fly-2026-06-27,1,0,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO1 方差高；赛事关注度/信息可得性较好；双方队伍可研究性较强
C 低优先/剔除池,43,137,2026-06-27 18:45,BO1,Cross Regional Group Stage,DN SOOPers vs LOS,lol-dnf-los-2026-06-27,1,0,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO1 方差高；赛事关注度/信息可得性较好；双方队伍可研究性较强
C 低优先/剔除池,43,138,2026-06-27 19:40,BO1,Cross Regional Group Stage,Dplus KIA vs Cloud9,lol-dk-c9-2026-06-27,1,0,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO1 方差高；赛事关注度/信息可得性较好；双方队伍可研究性较强
C 低优先/剔除池,39,39,2026-06-08 03:15,BO3,Esports World Cup South America & LATAM Qualifier Playoffs,RED Canids vs Leviatan Esports,lol-red-lev-2026-06-07,3,2,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO3 有一定可建模性；至少一方有较好资料
C 低优先/剔除池,39,41,2026-06-08 05:30,BO3,Esports World Cup South America & LATAM Qualifier Playoffs,Fluxo W7M vs paiN Gaming,lol-fxw7-png1-2026-06-07,3,2,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO3 有一定可建模性；至少一方有较好资料
C 低优先/剔除池,39,54,2026-06-09 00:00,BO3,Esports World Cup South America & LATAM Qualifier Playoffs,Leviatan Esports vs paiN Gaming,lol-lev-png1-2026-06-08,3,2,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO3 有一定可建模性；至少一方有较好资料
C 低优先/剔除池,39,70,2026-06-09 05:50,BO3,Esports World Cup South America & LATAM Qualifier Playoffs,RED Canids vs Fluxo W7M,lol-red-fxw7-2026-06-08,3,2,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO3 有一定可建模性；至少一方有较好资料
C 低优先/剔除池,39,88,2026-06-11 02:00,BO3,Esports World Cup South America & LATAM Qualifier Playoffs,Fluxo W7M vs LOUD,lol-fxw7-lll-2026-06-10,3,2,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO3 有一定可建模性；至少一方有较好资料
C 低优先/剔除池,37,6,2026-06-02 04:15,BO5,Circuito Desafiante Playoffs,Vivo Keyd Stars Academy vs KaBuM! Ilha das Lendas,lol-vksa-kbm-2026-06-01,5,4,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO5 样本更稳定且有 series+小局联动
C 低优先/剔除池,37,8,2026-06-02 22:00,BO5,Hitpoint Masters Playoffs,NightBirds vs eSuba,lol-nbs-esb-2026-06-02,5,4,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO5 样本更稳定且有 series+小局联动
C 低优先/剔除池,37,9,2026-06-03 00:00,BO5,Road Of Legends Playoffs,The Bandits vs mCon esports,lol-ban2-mcn-2026-06-02,5,4,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO5 样本更稳定且有 series+小局联动
C 低优先/剔除池,37,10,2026-06-03 02:15,BO5,LPLOL Playoffs,Crusaders vs Bubliki,lol-crz-bublik-2026-06-02,5,4,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO5 样本更稳定且有 series+小局联动；赛事关注度/信息可得性较好
C 低优先/剔除池,37,14,2026-06-03 23:00,BO5,LES Playoffs,Team Heretics Academy vs Barça eSports,lol-hrts-bar-2026-06-03,5,4,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO5 样本更稳定且有 series+小局联动
C 低优先/剔除池,37,15,2026-06-04 00:00,BO5,LFL Playoffs,Solary vs Galions,lol-sly-gal-2026-06-03,5,4,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO5 样本更稳定且有 series+小局联动
C 低优先/剔除池,37,16,2026-06-04 00:00,BO5,NLC Playoffs,Deer Gaming vs The Ruddy Sack,lol-deer-rs-2026-06-03,5,4,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO5 样本更稳定且有 series+小局联动
C 低优先/剔除池,37,18,2026-06-04 23:00,BO5,LES Playoffs,Movistar KOI Fénix vs UCAM Esports Club,lol-koia-ucam1-2026-06-04,5,4,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO5 样本更稳定且有 series+小局联动
C 低优先/剔除池,37,19,2026-06-05 04:00,BO5,North American Challengers League Playoffs,Winthrop University vs CCG Esports,lol-wu-ccg-2026-06-04,5,4,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO5 样本更稳定且有 series+小局联动
C 低优先/剔除池,37,23,2026-06-05 22:45,BO5,TCL Playoffs,Misa Esports vs PCIFIC,lol-me1-pcific-2026-06-05,5,4,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO5 样本更稳定且有 series+小局联动
C 低优先/剔除池,37,24,2026-06-05 23:50,BO5,LES Playoffs,Team Heretics Academy vs UCAM Esports Club,lol-hrts-ucam1-2026-06-05,5,4,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO5 样本更稳定且有 series+小局联动
C 低优先/剔除池,37,25,2026-06-06 00:00,BO5,NLC Playoffs,Verdant vs The Ruddy Sack,lol-vdn-rs-2026-06-05,5,4,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO5 样本更稳定且有 series+小局联动
C 低优先/剔除池,37,26,2026-06-06 04:00,BO5,North American Challengers League Playoffs,Conviction vs CCG Esports,lol-cnv-ccg-2026-06-05,5,4,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO5 样本更稳定且有 series+小局联动
C 低优先/剔除池,37,31,2026-06-07 00:00,BO5,Road Of Legends Playoffs,Frites Esports Club vs mCon esports,lol-fec-mcn-2026-06-06,5,4,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO5 样本更稳定且有 series+小局联动
C 低优先/剔除池,29,74,2026-06-09 23:00,BO3,EMEA Masters Play-In,CITA Kaizen vs Partizan Sangal,lol-ckz-ps1-2026-06-09,3,2,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO3 有一定可建模性；次级欧洲赛事，资料中等
C 低优先/剔除池,29,75,2026-06-09 23:00,BO3,EMEA Masters Play-In,E WIE EINFACH E-SPORTS vs GOAL,lol-ewi-goal-2026-06-09,3,2,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO3 有一定可建模性；次级欧洲赛事，资料中等
C 低优先/剔除池,29,76,2026-06-10 00:50,BO3,EMEA Masters Play-In,Frites Esports Club vs BOMBA Team,lol-fec-bombat-2026-06-09,3,2,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO3 有一定可建模性；次级欧洲赛事，资料中等
C 低优先/剔除池,29,77,2026-06-10 01:00,BO3,EMEA Masters Play-In,Karmine Corp Blue vs Verdant,lol-kcb-vdn-2026-06-09,3,2,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO3 有一定可建模性；次级欧洲赛事，资料中等
C 低优先/剔除池,29,121,2026-06-15 14:00,BO3,Asia Masters Last Chance Qualifier,KT Rolster Challengers vs Saigon Warriors,lol-ktc-sgw-2026-06-15,3,2,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO3 有一定可建模性
C 低优先/剔除池,29,122,2026-06-15 16:00,BO3,Asia Masters Last Chance Qualifier,Top Esports Challenger vs KT Rolster Challengers,lol-tesc-ktc-2026-06-15,3,2,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO3 有一定可建模性
C 低优先/剔除池,29,123,2026-06-15 17:40,BO3,Asia Masters Last Chance Qualifier,Saigon Warriors vs Top Esports Challenger,lol-sgw-tesc-2026-06-15,3,2,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO3 有一定可建模性
C 低优先/剔除池,27,4,2026-06-02 00:00,BO3,NLC Playoffs,The Ruddy Sack vs Arctic Pandas,lol-rs-ap-2026-06-01,3,2,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO3 有一定可建模性
C 低优先/剔除池,27,5,2026-06-02 02:00,BO3,NLC Playoffs,Verdant vs Deer Gaming,lol-vdn-deer-2026-06-01,3,2,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO3 有一定可建模性
C 低优先/剔除池,27,22,2026-06-05 21:00,BO3,LES Playoffs,Barça eSports vs Movistar KOI Fénix,lol-bar-koia-2026-06-05,3,2,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO3 有一定可建模性
C 低优先/剔除池,26,80,2026-06-10 23:00,BO3,EMEA Masters Group D,Solary vs BOMBA Team,lol-sly-bombat-2026-06-10,3,2,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO3 有一定可建模性；次级欧洲赛事，资料中等
C 低优先/剔除池,26,81,2026-06-10 23:00,BO3,EMEA Masters Group A,Misa Esports vs E WIE EINFACH E-SPORTS,lol-me1-ewi-2026-06-10,3,2,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO3 有一定可建模性；次级欧洲赛事，资料中等
C 低优先/剔除池,26,82,2026-06-10 23:00,BO3,EMEA Masters Group A,UCAM Esports Club vs HMBLE,lol-ucam1-hmble-2026-06-10,3,2,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO3 有一定可建模性；次级欧洲赛事，资料中等
C 低优先/剔除池,26,83,2026-06-10 23:00,BO3,EMEA Masters Group C,G2 NORD vs Partizan Sangal,lol-g2nord-ps1-2026-06-10,3,2,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO3 有一定可建模性；次级欧洲赛事，资料中等
C 低优先/剔除池,26,84,2026-06-11 00:45,BO3,EMEA Masters Group B,Team Heretics Academy vs Karmine Corp Blue,lol-hrts-kcb-2026-06-10,3,2,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO3 有一定可建模性；次级欧洲赛事，资料中等
C 低优先/剔除池,26,85,2026-06-11 00:45,BO3,EMEA Masters Group D,Eintracht Spandau vs Anubis Gaming,lol-es1-anb-2026-06-10,3,2,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO3 有一定可建模性；次级欧洲赛事，资料中等
C 低优先/剔除池,26,86,2026-06-11 00:55,BO3,EMEA Masters Group B,PCIFIC vs Forsaken,lol-pcific-fsk-2026-06-10,3,2,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO3 有一定可建模性；次级欧洲赛事，资料中等
C 低优先/剔除池,26,87,2026-06-11 01:40,BO3,EMEA Masters Group C,Galions vs WLGaming Esports,lol-gal-wlg-2026-06-10,3,2,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO3 有一定可建模性；次级欧洲赛事，资料中等
C 低优先/剔除池,26,92,2026-06-11 23:00,BO3,EMEA Masters Group D,BOMBA Team vs Anubis Gaming,lol-bombat-anb-2026-06-11,3,2,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO3 有一定可建模性；次级欧洲赛事，资料中等
C 低优先/剔除池,26,93,2026-06-11 23:00,BO3,EMEA Masters Group A,Misa Esports vs UCAM Esports Club,lol-me1-ucam1-2026-06-11,3,2,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO3 有一定可建模性；次级欧洲赛事，资料中等
